Year,Quarter,Inflation,Unemployment     ,Undemp_Adj,Job_Misery,Misery
1995,Q1,5.894172806,8.8,16.9632,25.7632,31.65737281
1995,Q2,6.229290921,12.1,17.8437,29.9437,36.17299092
1995,Q3,7.105606258,8.8,19.4256,28.2256,35.33120626
1995,Q4,8.230719378,8.4,18.1368,26.5368,34.76751938
1996,Q1,9.424414927,8.3,19.257,27.557,36.98141493
1996,Q2,9.170305677,10.9,19.7802,30.6802,39.85050568
1996,Q3,7.851491175,7.5,19.8875,27.3875,35.23899117
1996,Q4,6.886227545,7.4,17.9644,25.3644,32.25062754
1997,Q1,5.375722543,7.8,19.2698,27.0698,32.44552254
1997,Q2,5.257142857,10.4,20.7872,31.1872,36.44434286
1997,Q3,5.586907449,8.8,20.7936,29.5936,35.18050745
1997,Q4,6.386554622,8,19.044,27.044,33.43055462
1998,Q1,7.515085025,8.6,19.5596,28.1596,35.67468502
1998,Q2,9.554831705,13.3,17.9469,31.2469,40.8017317
1998,Q3,10.15499733,9.1,18.9072,28.0072,38.16219733
1998,Q4,10.21590311,9.8,21.197,30.997,41.21290311
1999,Q1,9.285714286,9.2,19.8852,29.0852,38.37091429
1999,Q2,6.243805748,11.9,19.8225,31.7225,37.96630575
1999,Q3,4.949053857,8.5,20.13,28.63,33.57905386
1999,Q4,4.25226947,9.5,19.7976,29.2976,33.54986947
2000,Q1,5.648926237,9.5,19.005,28.505,34.15392624
2000,Q2,6.25,13.9,21.2667,35.1667,41.4167
2000,Q3,6.611188165,11.2,18.8256,30.0256,36.63678816
2000,Q4,7.791017415,10.1,17.8901,27.9901,35.78111742
2001,Q1,5.832965091,11.3,14.9903,26.2903,32.12326509
2001,Q2,5.66286216,13.3,15.1725,28.4725,34.13536216
2001,Q3,5.810928014,10.1,15.9123,26.0123,31.82322801
2001,Q4,4.336734694,9.8,14.9732,24.7732,29.10993469
2002,Q1,3.131524008,10.3,14.2623,24.5623,27.69382401
2002,Q2,3.074366431,13.9,16.8756,30.7756,33.84996643
2002,Q3,2.540983607,11.2,15.1848,26.3848,28.92578361
2002,Q4,2.159739201,10.2,13.7394,23.9394,26.0991392
2003,Q1,2.105263158,10.6,14.3934,24.9934,27.09866316
2003,Q2,2.378073358,12.2,13.6968,25.8968,28.27487336
2003,Q3,2.198241407,12.6,18.0918,30.6918,32.89004141
2003,Q4,2.393298763,10.2,14.1884,24.3884,26.78169876
2004,Q1,2.934179223,11,15.575,26.575,29.50917922
2004,Q2,3.622047244,13.7,15.9655,29.6655,33.28754724
2004,Q3,5.827141181,11.7,15.5408,27.2408,33.06794118
2004,Q4,6.739384496,10.9,15.0579,25.9579,32.6972845
2005,Q1,7.241910632,11.3,14.2807,25.5807,32.82261063
2005,Q2,7.066869301,8.3,23.9337,32.2337,39.3005693
2005,Q3,6.023651146,7.7,18.9215,26.6215,32.64515115
2005,Q4,6.094890511,7.4,19.6312,27.0312,33.12609051
2006,Q1,6.32183908,8.1,19.3909,27.4909,33.81273908
2006,Q2,6.068133428,8.2,23.3172,31.5172,37.58533343
2006,Q3,5.193447194,8.1,21.5046,29.6046,34.79804719
2006,Q4,4.334365325,7.4,18.7978,26.1978,30.53216533
2007,Q1,3.108108108,7.8,19.823,27.623,30.73110811
2007,Q2,2.643024423,7.4,17.5014,24.9014,27.54442442
2007,Q3,2.816434725,7.8,20.284,28.084,30.90043472
2007,Q4,3.198153643,6.3,16.9597,23.2597,26.45785364
2008,Q1,5.209698558,7.4,17.5014,24.9014,30.11109856
2008,Q2,8.311603651,8,18.216,26.216,34.52760365
2008,Q3,10.28037383,7.4,19.5386,26.9386,37.21897383
2008,Q4,8.881789137,6.8,16.31,23.11,31.99178914
2009,Q1,6.976019931,7.7,16.7986,24.4986,31.47461993
2009,Q2,4.363526933,7.5,17.4825,24.9825,29.34602693
2009,Q3,2.074810053,7.6,18.2952,25.8952,27.97001005
2009,Q4,3.60915493,7.1,18.0226,25.1226,28.73175493
2010,Q1,3.901018923,7.3,18.2619,25.5619,29.46291892
2010,Q2,3.835063437,8,16.376,24.376,28.21106344
2010,Q3,3.864872602,7,16.647,23.647,27.5118726
2010,Q4,3.540073634,7.1,18.2084,25.3084,28.84847363
2011,Q1,4.511067526,7.4,17.9644,25.3644,29.87546753
2011,Q2,4.943071369,7.2,18.0032,25.2032,30.14627137
2011,Q3,4.740904079,7.1,17.7439,24.8439,29.58480408
2011,Q4,4.677242888,6.4,17.8776,24.2776,28.95484289
2012,Q1,3.339124218,7.2,17.4464,24.6464,27.98552422
2012,Q2,2.963394196,6.9,17.9683,24.8683,27.8316942
2012,Q3,3.490245614,7,21.204,28.204,31.69424561
2012,Q4,2.998136051,6.8,17.708,24.508,27.50613605
2013,Q1,2.835921675,7.1,19.4161,26.5161,29.35202167
2013,Q2,2.341137124,7.5,17.76,25.26,27.60113712
2013,Q3,2.150893448,7.3,17.7984,25.0984,27.24929345
2013,Q4,3.004291845,6.4,16.9416,23.3416,26.34589185
2014,Q1,3.644123441,7.5,18.0375,25.5375,29.18162344
2014,Q2,3.823529412,7,16.926,23.926,27.74952941
2014,Q3,4.081632653,6.7,17.0739,23.7739,27.85553265
2014,Q4,2.852564103,6,17.578,23.578,26.4305641
2015,Q1,1.520430789,6.6,16.345,22.945,24.46543079
2015,Q2,0.975763299,6.4,16.6608,23.0608,24.0365633
2015,Q3,-0.062247121,6.498651583,19.61767022,26.11632181,26.05407469
2015,Q4,0.280461203,5.625682153,16.65638495,22.2820671,22.5625283
2016,Q1,0.592823713,5.689769073,18.48456426,24.17433334,24.76715705
2016,Q2,0.966334165,6.064491058,17.16519338,23.22968444,24.19601861
2016,Q3,1.432575522,5.387931308,16.48205617,21.86998748,23.302563
2016,Q4,2.019888129,4.664644712,17.17592475,21.84056946,23.86045759
2017,Q1,2.884615385,6.557767801,15.19345068,21.75121848,24.63583387
2017,Q2,2.840382834,5.718837072,15.14378881,20.86262588,23.70300872
2017,Q3,2.671169788,5.578455728,15.37467317,20.9531289,23.62429869
2017,Q4,3.015534572,5.003030335,15.12869944,20.13172977,23.14726434
2018,Q1,3.858908652,5.264028059,17.01115621,22.27518427,26.13409293
